time_seconds,temperature
5,20.0
7,20.0
13,20.0
13,20.0
18,20.0
18,20.0
18,20.0
22,20.0
22,20.0
25,20.0
30,20.0
30,20.0
35,20.0
40,20.0
41,20.0
49,20.0
52,20.0
